H,061030,01061030,,,,,,,
I,556,,121.2937,,426700406000,,,52010447,20061030
I,206,,160.1278,,426700407000,,,52010447,20061030
I,156,,162.792,,426700408000,,,52010447,20061030
I,288,,187.5057,,426700409000,,,52010447,20061030
I,194,,184.4806,,426700410000,,,52010447,20061030
I,536,,121.2937,,426700406000,,,52010455,20061030
I,208,,160.1278,,426700407000,,,52010455,20061030
I,154,,162.792,,426700408000,,,52010455,20061030
I,282,,187.5057,,426700409000,,,52010455,20061030
I,204,,184.4806,,426700410000,,,52010455,20061030
T,429512.6774,,,,,,,,
