H,20080811,1130,PT,ASM
O,52015669,,,
I,4260004B9000,4260004B9000,365,EA
O,52015669,,,
I,4260004C0000,4260004C0000,200,EA
O,52015669,,,
I,4260004C1000,4260004C1000,340,EA
O,52015669,,,
I,4260004C2000,4260004C2000,115,EA
O,52015669,,,
I,42600AD09300,42600AD09300,428,EA
O,52015669,,,
I,42600AD11400,42600AD11400,306,EA
O,52015669,,,
I,42600AD13300,42600AD13300,398,EA
O,52015669,,,
I,42600AD15300,42600AD15300,680,EA
O,52015669,,,
I,42600AD17300,42600AD17300,228,EA
O,52015669,,,
I,426700406000,426700406000,428,EA
O,52015669,,,
I,426700407000,426700407000,306,EA
O,52015669,,,
I,426700408000,426700408000,399,EA
O,52015670,,,
I,426700409000,426700409000,680,EA
O,52015670,,,
I,426700410000,426700410000,228,EA
