H,20091221,1130,PT,ASM
O,52019576,,,
I,4260004B9000,4260004B9000,375,EA
O,52019576,,,
I,4260004C0000,4260004C0000,248,EA
O,52019576,,,
I,4260004C1000,4260004C1000,247,EA
O,52019576,,,
I,4260004C2000,4260004C2000,246,EA
O,52019576,,,
I,42600AD09300,42600AD09300,334,EA
O,52019576,,,
I,42600AD11400,42600AD11400,416,EA
O,52019576,,,
I,42600AD13300,42600AD13300,492,EA
O,52019576,,,
I,42600AD15300,42600AD15300,496,EA
O,52019576,,,
I,42600AD17300,42600AD17300,494,EA
O,52019576,,,
I,426700406000,426700406000,334,EA
O,52019576,,,
I,426700407000,426700407000,416,EA
O,52019576,,,
I,426700408000,426700408000,492,EA
O,52019577,,,
I,426700409000,426700409000,496,EA
O,52019577,,,
I,426700410000,426700410000,494,EA
O,52019584,,,
I,4260004B9000,4260004B9000,71,EA
O,52019584,,,
I,4260004C0000,4260004C0000,52,EA
O,52019584,,,
I,4260004C1000,4260004C1000,48,EA
O,52019584,,,
I,4260004C2000,4260004C2000,49,EA
O,52019584,,,
I,42600AD09300,42600AD09300,56,EA
O,52019584,,,
I,42600AD11400,42600AD11400,86,EA
O,52019584,,,
I,42600AD13300,42600AD13300,104,EA
O,52019584,,,
I,42600AD15300,42600AD15300,94,EA
O,52019584,,,
I,42600AD17300,42600AD17300,100,EA
O,52019584,,,
I,426700406000,426700406000,56,EA
O,52019584,,,
I,426700407000,426700407000,86,EA
O,52019584,,,
I,426700408000,426700408000,104,EA
O,52019585,,,
I,426700409000,426700409000,94,EA
O,52019585,,,
I,426700410000,426700410000,100,EA
