H,20091015,1130,PT,ASM
O,52019098,,,
I,4260004B9000,4260004B9000,370,EA
O,52019098,,,
I,4260004C0000,4260004C0000,231,EA
O,52019098,,,
I,4260004C1000,4260004C1000,236,EA
O,52019098,,,
I,4260004C2000,4260004C2000,235,EA
O,52019098,,,
I,42600AD09300,42600AD09300,556,EA
O,52019098,,,
I,42600AD11400,42600AD11400,178,EA
O,52019098,,,
I,42600AD13300,42600AD13300,462,EA
O,52019098,,,
I,42600AD15300,42600AD15300,480,EA
O,52019098,,,
I,42600AD17300,42600AD17300,468,EA
O,52019098,,,
I,426700406000,426700406000,556,EA
O,52019098,,,
I,426700407000,426700407000,178,EA
O,52019098,,,
I,426700408000,426700408000,463,EA
O,52019099,,,
I,426700409000,426700409000,480,EA
O,52019099,,,
I,426700410000,426700410000,468,EA
