H,20070409,1130,PT,ASM
O,52011659,,,
I,42600AD08400,42600AD08400,170,EA
O,52011659,,,
I,42600AD09300,42600AD09300,200,EA
O,52011659,,,
I,42600AD11400,42600AD11400,140,EA
O,52011659,,,
I,42600AD12300,42600AD12300,81,EA
O,52011659,,,
I,42600AD13300,42600AD13300,164,EA
O,52011659,,,
I,42600AD14300,42600AD14300,87,EA
O,52011659,,,
I,42600AD15300,42600AD15300,172,EA
O,52011659,,,
I,42600AD16300,42600AD16300,78,EA
O,52011659,,,
I,42600AD17300,42600AD17300,156,EA
O,52011659,,,
I,426700406000,426700406000,201,EA
O,52011659,,,
I,426700407000,426700407000,140,EA
O,52011659,,,
I,426700408000,426700408000,164,EA
O,52011660,,,
I,426700409000,426700409000,172,EA
O,52011660,,,
I,426700410000,426700410000,156,EA
