H,20070221,1130,PT,ASM
O,52011152,,,
I,42600AD09300,42600AD09300,216,EA
O,52011152,,,
I,42600AD11400,42600AD11400,67,EA
O,52011152,,,
I,42600AD13300,42600AD13300,115,EA
O,52011152,,,
I,42600AD15300,42600AD15300,118,EA
O,52011152,,,
I,42600AD17300,42600AD17300,176,EA
O,52011152,,,
I,426700406000,426700406000,216,EA
O,52011152,,,
I,426700407000,426700407000,67,EA
O,52011152,,,
I,426700408000,426700408000,115,EA
O,52011152,,,
I,426700409000,426700409000,118,EA
O,52011152,,,
I,426700410000,426700410000,176,EA
O,52011156,,,
I,42600AD08400,42600AD08400,296,EA
O,52011156,,,
I,42600AD12300,42600AD12300,108,EA
O,52011156,,,
I,42600AD14300,42600AD14300,116,EA
O,52011156,,,
I,42600AD16300,42600AD16300,164,EA
O,52011157,,,
I,42600AD09300,42600AD09300,222,EA
O,52011157,,,
I,42600AD11400,42600AD11400,77,EA
O,52011157,,,
I,42600AD13300,42600AD13300,108,EA
O,52011157,,,
I,42600AD15300,42600AD15300,117,EA
O,52011157,,,
I,42600AD17300,42600AD17300,160,EA
O,52011157,,,
I,426700406000,426700406000,222,EA
O,52011157,,,
I,426700407000,426700407000,77,EA
O,52011157,,,
I,426700408000,426700408000,108,EA
O,52011157,,,
I,426700409000,426700409000,117,EA
O,52011157,,,
I,426700410000,426700410000,160,EA
O,52011161,,,
I,42600AD08400,42600AD08400,139,EA
O,52011161,,,
I,42600AD12300,42600AD12300,45,EA
O,52011161,,,
I,42600AD14300,42600AD14300,51,EA
O,52011161,,,
I,42600AD16300,42600AD16300,45,EA
O,52011162,,,
I,42600AD09300,42600AD09300,192,EA
O,52011162,,,
I,42600AD11400,42600AD11400,86,EA
O,52011162,,,
I,42600AD13300,42600AD13300,88,EA
O,52011162,,,
I,42600AD15300,42600AD15300,102,EA
O,52011162,,,
I,42600AD17300,42600AD17300,92,EA
O,52011162,,,
I,426700406000,426700406000,192,EA
O,52011162,,,
I,426700407000,426700407000,86,EA
O,52011162,,,
I,426700408000,426700408000,88,EA
O,52011162,,,
I,426700409000,426700409000,102,EA
O,52011162,,,
I,426700410000,426700410000,92,EA
