H,20141021,1130,PT,ASM
O,52039447,,,
I,4260004B9000,4260004B9000,495,EA
O,52039447,,,
I,4260004C0000,4260004C0000,289,EA
O,52039447,,,
I,4260004C1000,4260004C1000,384,EA
O,52039447,,,
I,4260004C2000,4260004C2000,226,EA
O,52039447,,,
I,4260004C4000,4260004C4000,152,EA
O,52039447,,,
I,4260004C5000,4260004C5000,84,EA
O,52039447,,,
I,4260004C6000,4260004C6000,42,EA
O,52039447,,,
I,42600AD09300,42600AD09300,554,EA
O,52039447,,,
I,42600AD11400,42600AD11400,440,EA
O,52039447,,,
I,426700406000,426700406000,554,EA
O,52039447,,,
I,426700414000,426700414000,152,EA
O,52039447,,,
I,426700415000,426700415000,84,EA
O,52039448,,,
I,42600AD13300,42600AD13300,578,EA
O,52039448,,,
I,42600AD15300,42600AD15300,762,EA
O,52039448,,,
I,42600AD17300,42600AD17300,302,EA
O,52039448,,,
I,426700407000,426700407000,440,EA
O,52039448,,,
I,426700408000,426700408000,578,EA
O,52039448,,,
I,426700409000,426700409000,762,EA
O,52039448,,,
I,426700410000,426700410000,302,EA
