H,20110625,1130,PT,ASM
O,52024933,,,
I,4260004C0000,4260004C0000,245,EA
O,52024933,,,
I,4260004C1000,4260004C1000,237,EA
O,52024933,,,
I,4260004C2000,4260004C2000,261,EA
O,52024933,,,
I,42600AD09300,42600AD09300,252,EA
O,52024933,,,
I,42600AD11400,42600AD11400,454,EA
O,52024933,,,
I,42600AD13300,42600AD13300,486,EA
O,52024933,,,
I,42600AD15300,42600AD15300,476,EA
O,52024933,,,
I,42600AD17300,42600AD17300,404,EA
O,52024933,,,
I,426700406000,426700406000,252,EA
O,52024933,,,
I,426700407000,426700407000,454,EA
O,52024933,,,
I,426700408000,426700408000,486,EA
O,52024934,,,
I,4260004C4000,4260004C4000,121,EA
O,52024934,,,
I,426700409000,426700409000,476,EA
O,52024934,,,
I,426700410000,426700410000,404,EA
O,52024934,,,
I,426700414000,426700414000,120,EA
