H,20120912,1130,PT,ASM
O,52029898,,,
I,4260004B9000,4260004B9000,380,EA
O,52029898,,,
I,4260004C0000,4260004C0000,225,EA
O,52029898,,,
I,4260004C1000,4260004C1000,264,EA
O,52029898,,,
I,4260004C2000,4260004C2000,243,EA
O,52029898,,,
I,4260004C4000,4260004C4000,290,EA
O,52029898,,,
I,42600AD09300,42600AD09300,352,EA
O,52029898,,,
I,42600AD11400,42600AD11400,406,EA
O,52029898,,,
I,42600AD13300,42600AD13300,450,EA
O,52029898,,,
I,426700406000,426700406000,354,EA
O,52029898,,,
I,426700407000,426700407000,406,EA
O,52029898,,,
I,426700408000,426700408000,450,EA
O,52029898,,,
I,426700414000,426700414000,290,EA
O,52029899,,,
I,42600AD15300,42600AD15300,528,EA
O,52029899,,,
I,42600AD17300,42600AD17300,198,EA
O,52029899,,,
I,426700409000,426700409000,528,EA
O,52029899,,,
I,426700410000,426700410000,199,EA
