H,20120417,1130,PT,ASM
O,52028465,,,
I,4260004B9000,4260004B9000,295,EA
O,52028465,,,
I,4260004C0000,4260004C0000,193,EA
O,52028465,,,
I,4260004C1000,4260004C1000,180,EA
O,52028465,,,
I,4260004C2000,4260004C2000,168,EA
O,52028465,,,
I,4260004C6000,4260004C6000,72,EA
O,52028465,,,
I,42600AD09300,42600AD09300,241,EA
O,52028465,,,
I,42600AD11400,42600AD11400,356,EA
O,52028465,,,
I,42600AD13300,42600AD13300,386,EA
O,52028465,,,
I,42600AD15300,42600AD15300,358,EA
O,52028465,,,
I,42600AD17300,42600AD17300,274,EA
O,52028465,,,
I,426700406000,426700406000,240,EA
O,52028465,,,
I,426700407000,426700407000,356,EA
O,52028466,,,
I,4260004C4000,4260004C4000,60,EA
O,52028466,,,
I,4260004C5000,4260004C5000,142,EA
O,52028466,,,
I,426700408000,426700408000,386,EA
O,52028466,,,
I,426700409000,426700409000,358,EA
O,52028466,,,
I,426700410000,426700410000,274,EA
O,52028466,,,
I,426700414000,426700414000,60,EA
O,52028466,,,
I,426700415000,426700415000,142,EA
O,52028467,,,
I,4260004B9000,4260004B9000,344,EA
O,52028467,,,
I,4260004C0000,4260004C0000,225,EA
O,52028467,,,
I,4260004C1000,4260004C1000,244,EA
O,52028467,,,
I,4260004C2000,4260004C2000,241,EA
O,52028467,,,
I,4260004C4000,4260004C4000,84,EA
O,52028467,,,
I,4260004C5000,4260004C5000,198,EA
O,52028467,,,
I,4260004C6000,4260004C6000,98,EA
O,52028467,,,
I,42600AD09300,42600AD09300,250,EA
O,52028467,,,
I,42600AD11400,42600AD11400,440,EA
O,52028467,,,
I,42600AD13300,42600AD13300,448,EA
O,52028467,,,
I,42600AD15300,42600AD15300,486,EA
O,52028467,,,
I,42600AD17300,42600AD17300,398,EA
O,52028468,,,
I,426700406000,426700406000,250,EA
O,52028468,,,
I,426700407000,426700407000,440,EA
O,52028468,,,
I,426700408000,426700408000,448,EA
O,52028468,,,
I,426700409000,426700409000,486,EA
O,52028468,,,
I,426700410000,426700410000,398,EA
O,52028468,,,
I,426700414000,426700414000,84,EA
O,52028468,,,
I,426700415000,426700415000,198,EA
