H,20130619,1130,PT,ASM
O,52033216,,,
I,4260004B9000,4260004B9000,500,EA
O,52033216,,,
I,4260004C0000,4260004C0000,304,EA
O,52033216,,,
I,4260004C1000,4260004C1000,220,EA
O,52033216,,,
I,4260004C2000,4260004C2000,283,EA
O,52033216,,,
I,4260004C4000,4260004C4000,44,EA
O,52033216,,,
I,4260004C5000,4260004C5000,145,EA
O,52033216,,,
I,4260004C6000,4260004C6000,72,EA
O,52033216,,,
I,42600AD09300,42600AD09300,411,EA
O,52033216,,,
I,42600AD11400,42600AD11400,593,EA
O,52033216,,,
I,426700406000,426700406000,413,EA
O,52033216,,,
I,426700414000,426700414000,44,EA
O,52033216,,,
I,426700415000,426700415000,144,EA
O,52033217,,,
I,42600AD13300,42600AD13300,590,EA
O,52033217,,,
I,42600AD15300,42600AD15300,439,EA
O,52033217,,,
I,42600AD17300,42600AD17300,525,EA
O,52033217,,,
I,426700407000,426700407000,592,EA
O,52033217,,,
I,426700408000,426700408000,596,EA
O,52033217,,,
I,426700409000,426700409000,440,EA
O,52033217,,,
I,426700410000,426700410000,525,EA
