H,20141031,1130,PT,ASM
O,52039543,,,
I,4260004B9000,4260004B9000,509,EA
O,52039543,,,
I,4260004C0000,4260004C0000,284,EA
O,52039543,,,
I,4260004C1000,4260004C1000,372,EA
O,52039543,,,
I,4260004C2000,4260004C2000,217,EA
O,52039543,,,
I,4260004C4000,4260004C4000,150,EA
O,52039543,,,
I,4260004C5000,4260004C5000,78,EA
O,52039543,,,
I,4260004C6000,4260004C6000,40,EA
O,52039543,,,
I,42600AD09300,42600AD09300,574,EA
O,52039543,,,
I,42600AD11400,42600AD11400,440,EA
O,52039543,,,
I,42600AD13300,42600AD13300,570,EA
O,52039543,,,
I,42600AD15300,42600AD15300,746,EA
O,52039543,,,
I,42600AD17300,42600AD17300,282,EA
O,52039544,,,
I,426700406000,426700406000,574,EA
O,52039544,,,
I,426700407000,426700407000,440,EA
O,52039544,,,
I,426700408000,426700408000,570,EA
O,52039544,,,
I,426700409000,426700409000,747,EA
O,52039544,,,
I,426700410000,426700410000,282,EA
O,52039544,,,
I,426700414000,426700414000,150,EA
O,52039544,,,
I,426700415000,426700415000,78,EA
